reference_id,school,division,conference,city,state,coaching_staff_url,camp_url,recruiting_questionnaire_url,program_x_url,source_url,snapshot_date,logo_url,distance_miles
umass-massachusetts-d1-fbs,UMass,D1-FBS,MAC,Amherst,Massachusetts,https://umassathletics.com/sports/football/coaches,https://joeharasymiakfootball.totalcamps.com/About%20Us,https://questionnaires.armssoftware.com/f2df0deb984d,https://x.com/UMassFootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,1412
union-college-new-york-new-york-d3,Union College - New York,D3,Liberty,Schenectady,New York,https://unionathletics.com/sports/football/coaches,https://unionathletics.com/sports/2024/3/20/2024-summer-sports-camps.aspx,https://questionnaires.armssoftware.com/b87aa6753f84,https://x.com/UnionCollegeFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,1348
union-commonwealth-university-kentucky-naia,Union Commonwealth University,NAIA,AAC,Barbourville,Kentucky,https://www.gounionbulldogs.com/sports/fball/coaches/index,https://www.gounionbulldogs.com/sports/fball/index,https://www.gounionbulldogs.com/sports/fball,https://x.com/unionbulldogfb,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,761
united-states-coast-guard-academy-connecticut-d3,United States Coast Guard Academy,D3,NEWMAC,New London,Connecticut,https://coastguardathletics.com/sports/football/coaches,https://coastguardathletics.com/sports/football,https://coastguardathletics.com/sports/2023/8/3/athlete-recruiting-info.aspx,https://x.com/uscga_football,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,1422
united-states-merchant-marine-academy-new-york-d3,United States Merchant Marine Academy,D3,Skyline,Kings Point,New York,http://www.usmmasports.com/sports/football/roster?path=football,http://www.usmmasports.com/sports/football,http://www.usmmasports.com/sports/football,https://x.com/USMMAFootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,1332
university-of-arkansas-at-monticello-arkansas-d2,University of Arkansas at Monticello,D2,GAC,Monticello,Arkansas,https://www.uamsports.com/sports/football/coaches,https://www.uamsports.com/sports/football,https://www.fieldlevel.com/uamont/football/recruiting,https://x.com/weevilfootball,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2028.png,352
university-of-central-missouri-missouri-d2,University of Central Missouri,D2,MIAA,Warrensburg,Missouri,https://ucmathletics.com/sports/football/coaches,https://www.mulesfootballcamps.com/,https://questionnaires.armssoftware.com/759a9193936b,https://x.com/UCMFootballTeam,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2118.png,298
university-of-central-oklahoma-oklahoma-d2,University of Central Oklahoma,D2,MIAA,Edmond,Oklahoma,https://bronchosports.com/sports/football/coaches,https://adamdorrelfootball.totalcamps.com/About%20Us,https://questionnaires.armssoftware.com/4e64987dd835,https://x.com/ucobronchofb,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/2122.png,0
university-of-charleston-west-virginia-d2,University of Charleston,D2,MEC,Charleston,West Virginia,https://ucgoldeneagles.com/sports/football/coaches,https://ucgoldeneaglescamps.com/,https://questionnaires.armssoftware.com/42478c4f940f,https://x.com/ucwv_football,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,,893
university-of-chicago-illinois-d3,University of Chicago,D3,UAA,Chicago,Illinois,https://athletics.uchicago.edu/sports/football/coaches,https://athletics.uchicago.edu/sports/2023/6/12/about-camps.aspx,https://athletics.uchicago.edu/sports/football,https://x.com/UChicagoFB,https://www.lewisvillerecruiting.com/college-search-tool,2026-09-23,https://a.espncdn.com/i/teamlogos/ncaa/500/80.png,680
